02.11 15:12:03 | Report SMDR now ON
02.11 15:12:03 | Start client
02.11 15:12:03 | [disconnectSsl] Disconnect from server 127.0.0.1:6543. Try #1 connect after 10 sec
02.11 15:12:03 | [disconnectSsl] Start tmr_wait timer (wait 10 sec.)
02.11 15:12:03 | [slotNewCon] Server certificate :
02.11 15:12:03 | [slotNewCon] Disconnect from server 127.0.0.1:6543. Try #1 connect after 10 sec
02.11 15:12:07 | Stop client
02.11 15:14:00 | Report SMDR now ON
02.11 15:14:00 | Start client
02.11 15:14:00 | [disconnectSsl] Disconnect from server 127.0.0.1:6543. Try #1 connect after 10 sec
02.11 15:14:00 | [disconnectSsl] Start tmr_wait timer (wait 10 sec.)
02.11 15:14:00 | [slotNewCon] Server certificate :
02.11 15:14:00 | [slotNewCon] Disconnect from server 127.0.0.1:6543. Try #1 connect after 10 sec
02.11 15:14:10 | [timerEvent] Stop tmr_wait timer !
02.11 15:14:10 | [disconnectSsl] Disconnect from server 127.0.0.1:6543. Try #2 connect after 10 sec
02.11 15:14:10 | [disconnectSsl] Start tmr_wait timer (wait 10 sec.)
02.11 15:14:10 | [slotNewCon] Server certificate :
02.11 15:14:10 | [slotNewCon] Disconnect from server 127.0.0.1:6543. Try #2 connect after 10 sec
02.11 15:14:11 | Stop client
